"id","year","sub_season","breeding_outcome","breeding_success","first_day","log_ODBA","num_feed_fixes","num_ACC_fixes","mean_precip","prop_days_below_freezing","prop_storm_days","prop_grass","prop_ag","prop_bog"
10,1,4,1,1,113,-0.605657124,2070,3332,2.353901058,0,0.357142857,0.699404762,0,0.077380952
17,1,1,2,0,77,-0.614543789,1659,3335,1.611754837,0,0,0.039877301,0.530674847,0
10,1,2,1,1,95,-0.329301579,343,950,5.69812362,0,0,0.350621118,0.142857143,0.026086957
10,1,6,1,1,134,-0.372160134,1930,3336,0,0.428571429,0.071428571,0,0,0.565868263
10,1,5,1,1,127,-0.690281559,497,1665,0.157391306,0.857142857,0,0,0,0.553143713
10,1,1,1,1,81,-0.750170152,1236,2479,4.054239486,0,0.142857143,0.547169811,0.018867925,0
18,1,6,1,1,139,-0.461343341,1933,3335,0.011772832,0.928571429,0,0,0,1
13,1,5,2,0,128,-0.495033429,195,951,1.194103861,0.75,0.25,0,0,0.180851064
13,1,6,2,0,132,-0.446128791,1943,3091,0,0.692307692,0.076923077,0,0,0.076923077
10,1,3,1,1,99,-0.608759907,2083,3331,1.648142293,0,0.142857143,0.669642857,0.005952381,0.005952381
35,1,1,3,0,84,-0.597323172,1662,3331,4.006009538,0,0.142857143,0.534954407,0.045592705,0
9,1,2,2,0,95,-0.364605883,97,476,0.126774457,0,0,0.287545788,0.157509158,0.071428571
9,1,3,2,0,97,-0.540595939,1862,3570,1.665169487,0.066666667,0.133333333,0.441666667,0.141666667,0.336111111
9,1,4,2,0,112,-0.737320648,1783,3577,2.11781078,0,0.333333333,0.488888889,0.075,0.291666667
17,1,4,2,0,111,-0.494518468,2738,4287,2.277652803,0,0.333333333,0.733796296,0,0
9,1,6,2,0,129,-0.743106283,1507,3333,0,0.714285714,0.071428571,0,0,0.734939759
35,1,2,3,0,98,-0.143934275,15,474,0.550384934,0,0,0.167613636,0.068181818,0
17,1,2,2,0,91,-0.250570623,108,711,1.176676348,0.333333333,0,0.212740385,0.103365385,0.03125
9,1,5,2,0,127,-0.357398049,93,475,0.643058278,1,0,0,0,0.437777778
13,1,3,2,0,100,-0.539632572,1797,3334,1.674130448,0,0.142857143,0.547619048,0,0.008928571
13,1,4,2,0,114,-0.236271009,2097,3334,2.421005312,0,0.357142857,0.18452381,0,0
14,1,1,2,0,77,-0.904656509,1486,3340,1.611754837,0,0,0.036809816,0.527607362,0
14,1,2,2,0,91,-0.488491014,132,714,1.163871992,0.333333333,0,0.085714286,0.133333333,0.054761905
18,1,5,1,1,128,-0.682514604,1087,2615,0.405053321,0.545454545,0.181818182,0,0,0.426923077
18,1,4,1,1,112,-0.498442998,2546,3804,2.118379648,0,0.3125,0.604166667,0,0.2265625
37,1,1,2,0,84,-0.950116159,1210,3341,3.98853381,0,0.142857143,0.430340557,0.13003096,0
37,1,2,2,0,98,-0.177389272,68,477,1.545182393,0,0,0.470833333,0.091666667,0
37,1,3,2,0,100,-0.579521292,1883,3574,1.587355949,0,0.133333333,0.575,0,0.108333333
37,1,4,2,0,115,-0.617968892,1829,3328,2.632139704,0,0.428571429,0.550595238,0,0.145833333
37,1,5,2,0,129,-0.582848997,1797,4048,0.061889548,0.647058824,0.117647059,0,0,0.830049261
37,1,6,2,0,146,-0.419814342,1756,3326,0,0.357142857,0,0,0,0.996941896
17,1,3,2,0,94,-0.546621173,2426,4052,1.228361021,0,0.117647059,0.653562654,0.004914005,0.014742015
35,1,4,3,0,114,-0.614949025,1812,3094,2.412683427,0,0.384615385,0.618589744,0,0.054487179
35,1,5,3,0,127,-0.56662806,41,715,0.447245538,1,0,0,0,0.077943615
18,1,1,1,1,81,-0.880323893,1470,3332,4.008751303,0,0.142857143,0.103658537,0.469512195,0
18,1,2,1,1,95,-0.183469592,127,476,0.175517577,0,0,0.398369073,0.042283298,0.07641196
18,1,3,1,1,97,-0.555226657,2263,3569,1.587307896,0,0.133333333,0.538888889,0.002777778,0.102777778
14,1,3,2,0,94,-0.781323698,2236,4047,1.228364989,0,0.117647059,0.651960784,0.00245098,0.00245098
14,1,4,2,0,111,-0.806343453,2259,4286,2.277652803,0,0.333333333,0.733178654,0,0
14,1,5,2,0,129,-0.594423021,87,475,0.539114247,0.5,0.5,0,0,0.085106383
14,1,6,2,0,131,-0.999010641,1085,3334,0,0.714285714,0.071428571,0,0,0.975830816
36,1,1,2,0,74,-0.652463771,1600,3332,1.939789187,0,0.071428571,0.550151976,0.018237082,0
36,1,2,2,0,88,-0.317358922,101,477,1.37172851,0,0,0.440825942,0.088691796,0.12804878
36,1,3,2,0,90,-0.611543731,2508,4526,1.223755111,0.052631579,0.105263158,0.530701754,0.048245614,0.217105263
35,1,3,3,0,100,-0.491000251,2066,3334,1.698888172,0,0.142857143,0.577380952,0,0.044642857
